,FileName,Description
76,034993.jpg,An old man with a rocker look. He is wearing a grey hat and a bandana underneath it. His eyes are brown and he is wearing dark eyeliner. Wrinkles can be seen on his face. His hair is grey. His lips are thin. His ear is pierced
77,138811.jpg,"A bald, plump man with blue eyes, full lips and a trimmed chin beard. He has small eyebrows and he is wearing a black cowboy hat."
78,138811.jpg,A chubby young man with light-coloured eyes and thin lips. He is smiling and hints of a stubble beard can be seen on his upper lip. A stubble beard is growing on his chin.
79,156625.jpg,"A woman with long, wavy, blond hair, a large nose and blue eyes. She is wearing heavy makeup and she has thin, drawn-on eyebrows."
80,053896.jpg,"A woman with long, straight, black hair, blue eyes and sculpted eyebrows. She has full cheeks and full lips accentuated by her makeup."
81,065583.jpg,"A tanned woman with shoulder length, brown hair. She has a long nose and a smile on her face."
82,092508.jpg,A middle-aged man with short dark hair and small blue eyes. His nose is relatively big and his lips are thin. His upper teeth are visible as he is smiling. A stubble beard is growing on his face. His jawline is well-define
83,088011.jpg,A middle-aged man with short brown hair. There are some white patches as well. His eyes are big and his lips are pursed. He looks worried.
84,151471.jpg,"A pale man with short, dark-brown hair which is shaved at the sides, a pair of sunglasses and protruding ears. He has a stubble beard and a slight smirk."
85,166281.jpg,"A young slim woman with brown hair and small, narrow, dark eyes. Her nose is small and her lips are thin. Her upper teeth are visible and she is smiling."
86,068028.jpg,"An old man with short, curtained, white hair, reddish skin, light eyes, a slanted mouth and a wrinkly face."
87,068028.jpg,"An old man with yellow-white hair and wrinkled skin. His eyes are light-coloured, his lips are pressed together and hints of a stubble beards can be seen around his lips."
88,177510.jpg,"A young man with a chiselled jaw and bushy eyebrows. He has short, dark-brown hair which is parted in the middle and a slightly crooked nose."
89,083166.jpg,"A young woman with brown hair and a long fringe. She is wearing a headband. Her eyes are dark-coloured, her nose is small and her lips are heart-shaped and they are painted pink."
90,086339.jpg,"A black woma with tied-back, black hair and a fringe. Her eyes are brown and she has sculpted eyebrows and a wide smile."
91,188053.jpg,"A woman with long, straight, blond hair and dark roots. She has a long nose, light eyes, prominent cheeks and a smile with dimples."
92,188053.jpg,A middle-aged woman with straight blonde hair and brown roots. She has got a fringe. Her eyebrows are thin and brown and her eyes are blue. Her lips are set into a smile. Her skin is glowing. She is wearing a pair of long earrings.
93,124583.jpg,"An old man with reddish skin, short, grey, receding hair, a long nose, thin lips and a squarish face with droopy features."
94,134159.jpg,"A man with shaved hair, thick eyebrows and dark eyes. He has a wide nose, a smile and some trimmed facial hair."
95,159035.jpg,"A woman with long, wavy, ginger hair, bangs, blue eyes, a sharp jawline and full lips. She has sculpted eyebrows and she is wearing makeup."
96,159035.jpg,A young girl with wavy brown hair and a fringe. Her eyes are blue and there is some make-up around them. There's also some make-up underneath her eyes. Her lips are painted with lipgloss and they are thick. Her teeth are visible.
97,182841.jpg,A middle-aged woman with curly blonde hair. Her eyes are blue and big. Her lips are thin and they are painted red. Her upper teeth are visible and she is smiling
98,041138.jpg,A man with medium-length scruffy wavy hair. He is looking sideways and he has a serious look. His facial features are rather small. The man has got a moustache on his upper lip and facial hair under his lower lip and around his jaw.
99,127653.jpg,A middle-aged woman with bob hair. Her head is tilted back and she is looking in the distance. Her eyebrows are thin and her eyes are small. Her lips are very thin. She is wearing a pair of small earrings.
100,005982.jpg,An old man with short white hair wearing a pair of black sunglasses. There is an eye patch3 covering one of the lenses. He has got a heavy lower lip.
101,139685.jpg,"A woman with frizzy, ginger hair, fair skin, and angular features. She is wearing heavy makeup, dangly earrings and a jewelled hairband."
102,085983.jpg,"A young woman with her hair dyed blonde. Her roots are dark-coloured. Her eyes are dark-coloured, her nose is small and her lips are somewhat thick. Her cheekbones are well-defined."
103,114239.jpg,A bald young man with brown eyes. He is wearing a pair of oval shaped glasses with a thin metal frame. His lips are thin and a beard is growing around his lips and along his jawline. He looks serious
104,048477.jpg,"A man with a light-brown bowl haircut and thick, bushy eyebrows. He has a wide nose, a 5 o'clock shadow and a grin."
105,090874.jpg,"A young woman with thin raised eyebrows and a well-defined jaw. She has long, wavy brunette hair and is crossing her eyes."
106,090874.jpg,A young woman with brown hair and small dark-coloured eyes. Her lips are thin and she is pouting. Her teeth are visible.
107,131709.jpg,A young boy with hair combed backwards and gelled. The sides of his head are shaved. He has got a stern look. His eyes are brown and his lips are heart-shaped.
108,132215.jpg,"A plump man with short, receding, black hair, thick eyebrows, a small nose, thin lips and a pair of glasses."
109,132215.jpg,A middle-aged man with short dark-coloured hair and a receding hairline. His eyes are dark-coloured and small. He is wearing a pair of glasses with a thin frame. His lips are thin. Hints of a moustache can be seen on his face
110,127869.jpg,"An Asian man with short, black hair, a fringe, a wide, toothy smile and soft features. He is wearing glasses."
111,127869.jpg,A young Korean-looking man with medium-length dark hair and a fringe. His eyes are dark-coloured and small and he is wearing a pair of glasses. His nose is small and his lips are thin. His upper teeth are visible and he is smiling
112,167689.jpg,"A man with long, dark-brown hair held back by a black hairband. He has a wide nose, bushy eyebrows, stubble beard and a toothy grin. "
113,167689.jpg,A young man wearing a sports band. His eyes are dark-coloured and his lips are thin. His teeth are visible as he is smiling. Hints of a stubble can be seen on his face
114,027688.jpg,"A black man with a shaved head, bushy eyebrows, small ears, full lips and a goatee."
115,163841.jpg,A black haired man with a long nose and a sideways wrinkly smile.
116,195276.jpg,"A dark-skinned woman with neatly tied back dark-brown hair, sculpted eyebrows, full cheeks, a wide smile and some makeup."
117,009341.jpg,"A woman wearing a lot of makeup, bright pink lipstick and  large earrings, having pale white skin and red hair."
118,078927.jpg,"A black woman with long, slightly wavy, black hair, thin eyebrows, full cheeks, full lips and a bright smile."
119,078927.jpg,"Dark skinned woman with a slight underbite, plucked arched eyebrows, long wavy black hair with one side pinned back and a happy smile."
120,154789.jpg,"A man with short, brunette hair, thick eyebrows, light eyes, a long nose and a stubble beard and moustache. He has thin, smiling lips and a prominent chin."
121,154789.jpg,A young man with short brown hair and light-coloured eyes. His lips are very thin and he is smiling. A stubble beard is growing on his face.
122,048202.jpg,"A dark-skinned woman with long, curly, brown hair, a wide, toothy grin, rosy cheeks and some makeup."
123,060523.jpg,"A slightly smiling female face with small lips and nose, large eyes and medium length wavy dark brown hair."
124,173304.jpg,"A woman with caramel-toned wavy hair, prominent brown eyes and pink lips with a slight smile."
125,166654.jpg,"A young boy with longish, light-brown hair and a fringe. He has soft features and a small nose."
126,166654.jpg,A young boy with short brown hair and small brown eyes. His nose is small and his lips are thin.
127,190994.jpg,"An Asian woman with long, slightly wavy, brown hair, dark eyes and thick eyebrows. She also has a round face and full lips."
128,190994.jpg,A young Chinese-looking girl with straight brown hair and dark eyes. Her nose is narrow and her lips are somewhat thick and round. Her front teeth are visible
129,138106.jpg,"A pale woman with short, curly, brown hair, green eyes and drawn-on eyebrows. She has full cheeks, a toothy grin and she is wearing light makeup."
130,138106.jpg,"A woman with short curly brown hair, thinly drawn on eyebrows, blue eyes and a large aquiline nose."
131,059067.jpg,A young blonde girl with very small narrow eyes. Her lips are thin and her mouth is open as she is laughing. Her teeth are visible.
132,161596.jpg,A young woman with dark hair and small blue eyes. There is some dark make-up around her eyes. Her lips are thin and she has got a heavy lower lip. She looks serious
133,067120.jpg,"A pale woman with wavy, blond hair, a fringe, thin eyebrows, a small nose and some makeup. She has pouted lips and hollow cheeks."
134,067120.jpg,"A woman wearing a lot of makeup, small earrings and red lipstick, having blonde hair and squinting as if blowing from her mouth."
135,097570.jpg,"A profile shot of a person with short, very curly, brown hair, a slightly beaky nose, brown eyes, thick eyebrows and soft features."
136,097570.jpg,A young man with medium-length curly brown hair and small eyes. His nose is small and his lips are thin. He seems to have a genuine smile
137,042217.jpg,"A man with puffy dark brown hair, dark eyes and a very straight nose. His lips are very thin and he is wearing prescription glasses."
138,191176.jpg,"A man with short, light-brown hair, a large nose and a prominent chin. He is wearing glasses and he has brown eyes."
139,071144.jpg,"A woman with long wavy black hair pulled backwards, grey eyes, and wearing makeup, small earrings and glossy lipstick."
140,102011.jpg,"A woman with long brown hair, big upturned dark eyes and full lips with white teeth. She has a very dark complexion."
141,131877.jpg,A young girl with wavy blonde hair and dark roots. Her eyes are blue and there is heavy black make-up around them. Her nose is small and her lips are thin.
142,031117.jpg,"A smiling young woman with dark brown, tied-back hair. She has an angular jawline and thin eyebrows."
143,031117.jpg,A young woman with dark hair pulled back. Her eyes are dark-coloured and big. Her nose is small and her lips are thin. She has got a pointy chin. She is smiling and she is wearing a pair of earrings
144,075744.jpg,"A young man with medium-length brown hair and fringe. He is looking up in a scary way. His eyes seem small, his nose looks straight and his lips are pressed. There is a stubble beard growing."
145,103184.jpg,An older man with greying hair and a cleft chin. He has bushy eyebrows and a big nose.
146,103184.jpg,An old man with black-grey hair and eyebrows of the same colour. His eyes are small and his nose is straight. His lips are looking somewhat pouty and the man seems to be speaking. A double-chin can be seen.
147,098121.jpg,"A pale woman with tied back, blond hair, dark eyes, a strong jaw and a pointed chin. She is wearing makeup and earrings."
148,098121.jpg,A young woman with brown hair pulled back. Her eyes are dark-coloured and big and there is some dark make-up around her eyes. Her nose is small and her lips are heart-shaped. She is wearing a pair of hoop earrings
149,083935.jpg,"A woman with long, straight, black hair and bangs. She has prominent cheeks and full lips with a dimpled smile."
150,190426.jpg,A black woman with light makeup and a beaming smile. She is wearing a yellow hat and dangly earrings. Her eyebrows are sculpted and she has prominent cheeks.
151,005561.jpg,"A young girl with a round face and a beaming smile. She has long, brown hair and she is wearing light makeup."
152,032403.jpg,A young woman with straight long dark hair and small brown eyes. Her lips are thin and she is smiling. Her upper teeth are visible.
153,043664.jpg,"A man with short, blond hair and green eyes. He has a long nose and a sharp jaw with a cleft chin."
154,087007.jpg,A young lady with brown hair pulled back. She is wearing a pink hairband. Her eyes are dark-coloured and her complexion is very pale. She is smiling.
155,039549.jpg,A young man with short brown hair and blue eyes. His eyebrows are round. His lips are thin and he seems to have a heavy lower lip. He has got a stubble beard on his face.
156,087533.jpg,"A young black woman with sculpted eyebrows and makeup. She has wavy brunette hair and a round, contoured face."
157,041198.jpg,"A man with a serious look on his face. He is looking as though he is observing something. His eyebrows are thick and his eyes are small. His lips are thin and he is smirking, his lips are slanted in shape."
158,140650.jpg,A dark-skinned man wearing a white cap and a pair of dark-glasses. His eyes are brown and his lips are round and very thick. He has got a serious look on his face.
159,192272.jpg,"A woman with straight, blond hair, kept back by a pair of headphones. She has full cheeks, a bright smile and she is wearing makeup."
160,192272.jpg,A young woman with blonde hair wearing a pair of headphones. Her eyes are almost closed as she is smiling and laughing. Her lips are thin and her upper teeth are visible
161,201601.jpg,A young girl with wavy brown hair parted at the side of her head. Her eyebrows are brown and her eyes are blue. There is black make-up around them. Her lips are very thin and they're painted red. She has got a diamond-shaped face.
162,126161.jpg,"A woman with long, straight, light-brown hair, thin eyebrows, dark eyes, prominent cheeks and a wide smile with dimples."
163,126161.jpg,A happy looking olive skinned woman with shoulder length brown hair and narrow lips in a wide toothy smile with dimples.
164,138877.jpg,"A man with short, spiked-up, black hair which is shaved at the sides. He has thick, bushy eyebrows, a flat nose, a stubble beard and a slanted smile."
165,138877.jpg,A young man with short dark hair and thick dark eyebrows. His eyes are brown and his lips are thin. His upper teeth are visible. A stubble beard is growing on his face. He has got a tattoo on his neck.
166,191129.jpg,A Korean-looking man with short dark-coloured hair and thick eyebrows. His eyes are small and he is wearing a pair of rectangular glasses with a thin metal frame. His lips are heart-shaped and he seems to be unimpressed.
167,153207.jpg,"A woman with long, straight, blond hair and dark roots. She has thick, sculpted eyebrows, prominent cheeks and a wide smile with full lips."
168,153207.jpg,A young lady with blonde hair where brown roots are starting to show. She is smiling. Her eyes are small and light-coloured. Around them there is a small amount of black make-up. The lady's eyebrows don't match her hair when it comes to colour. Her lips are painted pink and they are parted. The woman's teeth can be seen.
169,068118.jpg,"A black man with shaved hair, a trimmed beard, thick eyebrows, dark eyes, a large nose and full, puckered lips. He is wearing glasses."
170,116438.jpg,A young man with short dark hair and small eyes. His lips are well-formed and there is a thin beard around them. He has got a very well-defined jawline
171,156153.jpg,"A smiling man with darkish skin, a round face, a full beard and a blue turban. He has a wide nose and bushy eyebrows."
172,038055.jpg,A young woman with blonde hair and brown roots. Her eyes are blue and there is some dark make-up around them. Her lips are somewhat thick
173,051721.jpg,"A man with dark gelled hair, a light brown moustache, dark eyes and very thin lips. He has a round face."
174,107147.jpg,A young girl with blonde hair and dark roots. Her eyes are dark-coloured and her lips are painted red. She seems somewhat chubby.
175,114795.jpg,"A plump woman with shoulder-length, blond hair, a small nose, an open mouth and a lazy eye."
176,114795.jpg,A middle-aged woman with straight blonde hair and light-coloured eyes. Her lips are parted as she seems to be talking. Her front teeth are visible. She is wearing a pair of earrings. Wrinkles can be seen on her face. She has got a double chin.
177,178007.jpg,"A woman with a strong jawline, a cleft chin and long, wavy, blond hair. She is wearing makeup and she has sculpted eyebrows."
178,033314.jpg,"A plump man with greying hair, a thin nose, round-rimmed glasses, thin lips and a trimmed moustache and chin beard."
179,033314.jpg,A middle-aged man with dark hair. A white patch of hair can be seen at the side of his head. His eyes are small and he is wearing a pair of round glasses with a black frame. His lips are thin and a stubble beard is growing on his upper lip and along his jawline
180,105372.jpg,"A dark-skinned man with short brown hair. His eyes are small and his eyebrows are somewhat thick. His nose seems to be somewhat big and his lips are thick and wide. A stubble beard is growing on his face. The man looks serious,"
181,181998.jpg,A middle-aged woman with voluminous red curly hair. Her eyes are dark and there is make-up around her eyes. Her lips are thin and they are painted red. Her upper teeth are visible. She is smiling
182,195018.jpg,"A pale man with short, wavy, brown hair, thick eyebrows, a narrow nose, full lips and a 5 o'clock shadow."
183,195018.jpg,A young man with short brown hair and thick eyebrows. His eyes are small and his lips are thin and pursed. A beard is growing around his lips.
184,013356.jpg,"A dark-skinned woman with curly, black, tied-back hair, thin eyebrows, a small nose and a wide toothy grin with dimples."
185,013356.jpg,A young woman with dark hair pulled backwards. Her eyes are dark-coloured and there is some make-up around them. Her lips are thin and there is some light-coloured lipgloss on them. Her upper teeth are visible. She is smiling
186,174921.jpg,A smiling woman with thin eyebrows and makeup. She has straight brunette hair and wears earrings. 
187,174921.jpg,A woman with long straight dark-brown hair and thin dark-brown eyebrows. Her eyes are blue and they're very small. The woman is wearing rouge. She is smiling with her lips parted and her upper teeth are showing. She is wearing lipgloss and a pair of circular earrings.
188,152650.jpg,"A woman with long, wavy, blond hair and dark roots. She has a thin nose, thin eyebrows and a grin."
189,152650.jpg,A young woman with blonde hair and dark brown roots. Her eyes are dark and there is make-up around them. Her lips are thin and she is smiling. Her upper teeth are visible.
190,163778.jpg,"A man with long, curtained, black hair, a chin beard, a moustache and a pair of sunglasses."
191,163778.jpg,A man with medoum-length dark-coloured hair. He is wearing a pair of black aviator sunglasses. His lips are thin and he has got a moustache on his upper lip. He has also got a goatie.
192,003032.jpg,"A young man with short brown hair gelled up, bushy eyebrows and small eyes. He has got a stubble beard and he is looking serious."
193,100863.jpg,"A woman with pale, reddish skin and green eyes. She has a wide smile and long, blond, tied-back hair."
194,100863.jpg,A young woman with brown hair and small eyes. Her lips are thin and her teeth are visible. She is wearing a pair of earrings. She is smiling.
195,058168.jpg,"A young man with short, messy hair, a goatee and thick, bushy eyebrows. His nose is wide and he has full lips."
196,008359.jpg,"A smiling woman with long, black hair, sculpted eyebrows, some makeup and a round face with soft features."
197,015887.jpg,"A man with short, greying, slightly curly hair and a salt-and-pepper beard. He has a narrow nose and a large forehead."
198,015887.jpg,A middle-aged man with short brown hair and patches of white hair on the sides of his head. His eyes are dark and small and his nose is small. His lips are thin and a beard is growing around them and along his jawline. Parts of the beard are white..
199,028958.jpg,A smiling woman with a wide jaw and long blonde hair.
200,087018.jpg,"An old man with white, receding hair and bushy eyebrows. He has a large nose, a squinty eye and a smile."
201,087018.jpg,An old man with short white hair and wrinkles on his face. His eyes are blue and one of his eyes is almost closed. His nose is big and his lips are thin. His teeth are visible. He seems to be crying
202,077159.jpg,A woman with an exclaiming expression.
203,098419.jpg,"A dark-skinned male face with black hair braided back. He has a very sharp jawline, a wide nose and a goatee."
204,140688.jpg,A young woman with medium-length blonde wavy layered hair. Her eyes are light-coloured and her eyebrows are dark brown She is wearing natural looking make-up. She has got heart shaped lips. Only one of her eyes can be seen as the other is covered due to the woman's fringe.
205,146711.jpg,"A young man with short, blond hair, a fringe, a thin nose, dark eyebrows, full lips and a strong jaw with soft features."
206,146711.jpg,A young man with short dark blonde hair. His eyebrows are dark brown and thick. His eyes are light-coloured. He looks like he's dreaming. His lips are somewhat thick and he seems to be smirking.
207,094603.jpg,"A tanned woman with short, black hair, a fringe, light eyes and thin eyebrows. She has angular features and she is wearing makeup."
208,094603.jpg,A young woman with short dark-coloured hair and small blue eyes with black make-up around them. Her nose is small and her lips are somewhat thick. She is smiling. Her cheekbones are well-defined. She is wearing a pair of small earrings
209,102516.jpg,"A woman with wavy, long hair which is black at the roots and gradually becomes a dark brown. She is wearing heavy makeup and she has thick eyebrows, a pinched nose and closed eyes."
210,198468.jpg,"A black man with a shaved head, full lips, a trimmed chin beard and a trimmed moustache. He has a sharp jawline, dark eyes and slightly pointed ears."
211,198468.jpg,A dark-skinned young man with short hair and thin arched eyebrows. His eyes are dark-coloured and small. His lips are thick and he's got a heavy lower lip. A beard is growing around his lips and on his chin.
212,022206.jpg,A woman with blond hair and dark roots. She has prominent cheeks and is wearing light makeup.
213,081098.jpg,"A tanned woman with long, blond hair, a long nose, a smile, sculpted eyebrows and some makeup."
214,106459.jpg,"A dark-skinned woman with long, windswept, dark-brown hair, high cheekbones and a sharp jawline. She has full lips, dark eyes and sculpted eyebrows."
215,135575.jpg,A young girl with thin hair pulled at the back of her head. Her eyebrows are thin and her eyes are small. Black make-up around them is making them look bigger than they actually are. Her lips are full and they are somewhat parted. The girl seems to be paying attention to what someone is saying.
216,194469.jpg,"A man with a strong jaw, full lips and thick eyebrows. His skin is slightly dark and he is wearing a flat cap."
217,084265.jpg,"A man with long, slightly messy black hair and a soul patch. He has a strong nose and a prominent chin."
218,086017.jpg,"An old man with grey hair. He has got bushy grey eyebrows and only one of his eyes seems to be open. The man seems to be singing into a microphone. He looks very serious. Traces of a beard can be seen around his lips, especially the mousache area."
219,053786.jpg,A middle-aged man with short dark hair and thick dark eyebrows. His eyes are small and dark-coloured. His nose is somewhat big and his lips are thin. Hints of a stubble can be seen on his face.
